name,category,revenue,users,growth_rate,satisfaction
CloudSync Pro,SaaS,245000,12500,15.3,4.6
DataPipe,DevOps,189000,8900,22.1,4.8
NexGen AI,ML/AI,412000,23100,31.5,4.7
SecureVault,Security,156000,6700,8.9,4.3
StreamFlow,Data,298000,15400,18.7,4.5
CodeCraft,DevTools,167000,9200,12.4,4.4
PixelForge,Design,203000,11800,25.6,4.9
NetMonitor,Infrastructure,134000,5600,6.2,4.1
QuantumLeap,Research,345000,18900,28.9,4.7
ByteShift,Analytics,278000,14200,19.8,4.6
CloudBurst,SaaS,198000,10300,14.1,4.5
DevHub,DevOps,223000,12100,20.5,4.8
AICore,ML/AI,389000,21500,33.2,4.9
CipherNet,Security,145000,6100,7.8,4.2
DataWeaver,Data,312000,16800,21.3,4.6
